date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:02	754/754	---M-Z	200	added ('OK')	application/javascript	etag:%222f2-61a278410bc80-gzip%22	https://rayyap.com/wp-content/plugins/wpforms/assets/js/integrations/elementor/frontend.min.js?ver=1.7.4.2	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/plugins/wpforms/assets/js/integrations/elementor/frontend.mine945.js	(from https://rayyap.com/reservation/)
15:28:03	1668/1668	---M-Z	200	added ('OK')	application/javascript	etag:%22684-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/js/libs/cookie.min.js?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/js/libs/cookie.min8c10.js	(from https://rayyap.com/reservation/)
15:28:03	9455/9455	---M-Z	200	added ('OK')	application/javascript	etag:%2224ef-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/js/scripts/global/helpers.min.js?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/js/scripts/global/helpers.min8c10.js	(from https://rayyap.com/reservation/)
15:28:03	485/485	---M-Z	200	added ('OK')	application/javascript	etag:%221e5-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/js/scripts/wc/woocommerceNotices.min.js?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/js/scripts/wc/woocommerceNotices.min8c10.js	(from https://rayyap.com/reservation/)
15:28:03	2403/2403	---M-Z	200	added ('OK')	application/javascript	etag:%22963-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/js/scripts/header/headerBuilder.min.js?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/js/scripts/header/headerBuilder.min8c10.js	(from https://rayyap.com/reservation/)
15:28:04	2778/2778	---M-Z	200	added ('OK')	application/javascript	etag:%22ada-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/js/scripts/menu/menuOffsets.min.js?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/js/scripts/menu/menuOffsets.min8c10.js	(from https://rayyap.com/reservation/)
15:28:04	1537/1537	---M-Z	200	added ('OK')	application/javascript	etag:%22601-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/js/scripts/menu/menuSetUp.min.js?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/js/scripts/menu/menuSetUp.min8c10.js	(from https://rayyap.com/reservation/)
15:28:04	6770/6770	---M-Z	200	added ('OK')	application/javascript	etag:%221a72-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/js/scripts/menu/mobileNavigation.min.js?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/js/scripts/menu/mobileNavigation.min8c10.js	(from https://rayyap.com/reservation/)
15:28:04	114702/114702	---M-Z	200	added ('OK')	application/javascript	etag:%221c00e-61a278410bc80-gzip%22	https://rayyap.com/wp-content/plugins/wpforms/pro/assets/js/vendor/dropzone.min.js?ver=5.9.3	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/plugins/wpforms/pro/assets/js/vendor/dropzone.min7404.js	(from https://rayyap.com/reservation/)
15:28:04	31132/31132	---M-Z	200	added ('OK')	application/javascript	etag:%22799c-61a278410bc80-gzip%22	https://rayyap.com/wp-content/plugins/wpforms/assets/js/wpforms.min.js?ver=1.7.4.2	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/plugins/wpforms/assets/js/wpforms.mine945.js	(from https://rayyap.com/reservation/)
15:28:05	7834/7834	---M-Z	200	added ('OK')	application/javascript	etag:%221e9a-61a278410bc80-gzip%22	https://rayyap.com/wp-content/plugins/wpforms/pro/assets/js/wpforms-file-upload.min.js?ver=1.7.4.2	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/plugins/wpforms/pro/assets/js/wpforms-file-upload.mine945.js	(from https://rayyap.com/reservation/)
15:28:06	24430/24430	---M-Z	200	added ('OK')	application/javascript	etag:%225f6e-61a278410bc80-gzip%22	https://rayyap.com/wp-content/plugins/wpforms/assets/js/jquery.validate.min.js?ver=1.19.3	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/plugins/wpforms/assets/js/jquery.validate.min6134.js	(from https://rayyap.com/reservation/)
